"player_api_id","player_name","overall_rating","gk_rating","appearances","league_appearances"
505942,"Aaron Appindangoye",67,43,8,1
155782,"Aaron Cresswell",74,121,75,1
162549,"Aaron Doran",71,125,104,1
30572,"Aaron Galindo",75,111,10,1
23780,"Aaron Hughes",78,129,162,1
27316,"Aaron Hunt",79,132,158,1
564793,"Aaron Kuhl",61,64,5,1
30895,"Aaron Lennon",84,146,181,1
528212,"Aaron Lennox",48,237,1,1
101042,"Aaron Meijers",69,54,167,1
23889,"Aaron Mokoena",75,154,30,1
231592,"Aaron Mooy",75,54,10,1
163222,"Aaron Muirhead",63,38,21,1
40719,"Aaron Niguez",71,129,27,2
75489,"Aaron Ramsey",83,150,133,1
597948,"Aaron Splaine",55,55,2,1
161644,"Aaron Taylor-Sinclair",65,49,36,1
23499,"Aaron Wilbraham",67,163,3,1
120919,"Aatif Chahechouhe",77,50,1,1
46447,"Abasse Ba",68,111,16,1
167027,"Abdelaziz Barrada",76,47,75,2
245653,"Abdelfettah Boukhriss",64,51,1,1
128456,"Abdelhamid El Kaoutari",73,118,144,2
42664,"Abdelkader Ghezzal",73,122,90,2
425950,"Abdellah Zoubir",59,62,3,1
38423,"Abdelmajid Oulmers",70,129,32,1
3264,"Abdelmalek Cherrad",62,98,1,1
467485,"Abdelmalek El Hasnaoui",63,52,5,1
306735,"Abdelouahed Chakhsi",56,46,74,1
41659,"Abderrazak Jadid",71,133,29,2
31684,"Abdeslam Ouaddou",78,150,43,1
32637,"Abdessalam Benjelloun",72,102,11,2
563215,"Abdou Diallo",66,41,28,2
41093,"Abdou Traore",71,128,59,1
564712,"Abdoul Ba",64,60,4,1
67334,"Abdoul Karim Yoda",72,127,54,2
173955,"Abdoul Razzagui Camara",72,124,45,1
39562,"Abdoulay Konko",79,138,137,2
191784,"Abdoulaye Ba",73,65,58,2
210400,"Abdoulaye Bamba",69,50,21,1
201915,"Abdoulaye Diaby",73,50,37,1
194479,"Abdoulaye Diallo Sadio,22",74,57,41,1
189181,"Abdoulaye Diallo",69,341,9,1
352887,"Abdoulaye Doucoure",73,68,71,2
40005,"Abdoulaye Faye",76,152,81,1
409003,"Abdoulaye Keita",60,54,3,1
37280,"Abdoulaye Meite",79,135,53,2
439366,"Abdoulaye Toure",64,48,2,1
148827,"Abdoulwahid Sissoko",69,49,50,2
173011,"Abdourahman Dampha",63,132,24,1
419681,"Abdul Aziz Tetteh",67,60,19,1
196947,"Abdul Majeed Waris",74,125,36,1
89405,"Abdul Osman",66,131,66,1
324910,"Abdul Rahman Baba",78,50,58,2
67952,"Abdul-Yakinu Iddi",66,121,48,1
31012,"Abdulkader Keita",82,86,13,1
176301,"Abdulla Fatadi",57,60,8,1
307227,"Abdullah Al Hafith",65,54,5,1
176302,"Abdullah Omar",62,121,52,1
525595,"Abdullahi Shehu",71,65,26,1
24385,"Abel Aguilar",77,142,134,3
29904,"Abel Gomez",73,152,40,1
105548,"Abel Hernandez",78,99,57,2
172875,"Abel Issa Camara",69,45,33,1
302985,"Abel Khaled",61,63,3,1
240556,"Abel Tamata",69,40,47,1
40938,"Abel",73,143,35,1
37422,"Abella Perez Damia",74,141,127,1
114503,"Abiola Dauda",69,118,22,2
27277,"Abou Diaby",79,139,67,2
181344,"Aboubacar Tandia",62,113,4,1
581141,"Aboubakar Kamara",61,50,3,1
80592,"Aboubakar Oumarou",68,50,18,1
165706,"Abraham Gonzalez",73,126,42,1
210453,"Abraham Guie Gneki",70,44,14,2
208635,"Abraham Kudemor",65,56,20,1
213695,"Abraham Minero",73,51,66,1
33715,"Abraham Paz Cruz",75,148,29,1
41489,"Achille Coser",61,308,2,1
25571,"Achille Emana",79,144,32,1
660145,"Achille Vaarnold",62,47,1,1
45960,"Achmed Ahahaoui",67,126,53,1
293235,"Achraf Lazaar",73,53,53,1
34487,"Aco Stojkov",60,120,23,1
26331,"Adailton",75,118,75,1
41749,"Adailton",73,141,37,1
495841,"Adalberto Penaranda",72,47,21,1
519835,"Adam Armstrong",67,55,1,1
68840,"Adam Banas",66,45,99,1
27534,"Adam Bodzek",72,133,29,1
157303,"Adam Bogdan",73,364,25,1
563198,"Adam Brown",52,57,1,1
557396,"Adam Buksa",62,50,4,1
365666,"Adam Campbell",62,58,7,1
180197,"Adam Collin",66,323,3,1
310346,"Adam Cummins",59,45,19,1
68962,"Adam Danch",68,56,143,1
429870,"Adam Deja",62,56,46,1
23133,"Adam Drury",72,125,12,1
420209,"Adam Drury",57,53,10,1
308280,"Adam Duda",60,51,7,1
361712,"Adam Dzwigala",60,56,29,1
38617,"Adam Federici",73,371,27,1
173993,"Adam Fraczczak",68,50,108,1
277313,"Adam Gyurcso",69,46,8,1
40568,"Adam Hammill",73,128,10,1
281079,"Adam Henley",67,52,4,1
89240,"Adam Hlousek",72,133,80,2
24159,"Adam Johnson",82,146,146,1
414208,"Adam King",57,55,2,1
43317,"Adam Kokoszka",67,134,95,1
37234,"Adam Lallana",80,131,109,1
24952,"Adam Le Fondre",73,96,11,1
209372,"Adam Maher",78,48,120,1
69518,"Adam Marciniak",62,52,103,1
478447,"Adam Marusic",69,44,49,1
500502,"Adam Masina",73,54,30,1
170593,"Adam Matthews",74,133,89,1
185336,"Adam Matuschyk",72,120,31,1
69249,"Adam Mojta",66,58,52,1
407308,"Adam Morgan",64,51,1,1
12245,"Adam Nemec",70,121,12,3
684978,"Adam Ounas",69,41,15,1
306507,"Adam Pazio",64,63,60,1
73078,"Adam Pinter",72,54,34,1
31916,"Adam Rooney",71,53,114,1
555649,"Adam Ryczkowski",56,49,7,1
158861,"Adam Sarota",68,139,35,1
160447,"Adam Smith",70,47,22,1
36774,"Adam Szalai",77,117,94,1
243068,"Adam Taggart",68,65,4,1
71359,"Adam Vass",68,133,15,1
495942,"Adam Waszkiewicz",52,48,15,1
287224,"Adama Ba",66,53,8,1
26136,"Adama Coulibaly",78,129,109,1
164360,"Adama Francois",67,125,43,1
357881,"Adama Soumaoro",68,54,30,1
181211,"Adama Traore",75,133,39,2
533212,"Adama Traore",68,50,14,1
103866,"Adamo Coulibaly",73,42,28,1
47394,"Adel Taarabt",80,135,71,2
155738,"Adem Ljajic",81,137,103,1
361710,"Aderlan Santos",80,56,83,2
568920,"Aderlan",67,53,33,1
45816,"Adil Auassar",66,126,105,1
37249,"Adil Chihi",73,124,31,1
40012,"Adil Hermach",71,132,67,1
77741,"Adil Rami",84,136,225,3
38612,"Adil Ramzi",67,47,37,1
164115,"Adilson",68,60,9,1
276701,"Adis Jahovic",70,56,5,1
131409,"Adlene Guedioura",71,131,40,2
116788,"Admir Aganovic",61,55,11,2
132844,"Admir Mehmedi",77,108,113,2
45815,"Adnan Alisic",61,45,5,1
39875,"Adnan Custovic",69,134,41,1
449241,"Adnan Januzaj",75,55,24,1
43049,"Adnan Mravac",68,123,43,1
261599,"Adnane Tighadouini",74,48,38,2
154950,"Adrian Basta",65,62,43,1
182107,"Adrian Blad",62,102,21,1
121643,"Adrian Chomiuk",52,101,17,1
102572,"Adrian Colunga",76,121,101,1
43348,"Adrian Cristea",65,47,2,1
113604,"Adrian Daniel Calello",61,56,8,1
482331,"Adrian Embarba",73,50,28,1
40501,"Adrian Gonzalez",73,137,132,1
178574,"Adrian Gunino",69,144,50,2
78537,"Adrian Klepczynski",62,53,105,1
45744,"Adrian Lopez",81,126,135,2
23358,"Adrian Mariappa",73,119,63,1
571685,"Adrian Marin",72,53,14,1
105526,"Adrian Mrowiec",64,133,86,2
39311,"Adrian Mutu",85,100,105,2
112976,"Adrian Nikci",68,128,55,2
116881,"Adrian Paluchowski",61,117,9,1
239253,"Adrian Rakowski",63,41,36,1
50345,"Adrian Ramos",79,102,95,1
323385,"Adrian Ricardo Centurion",74,39,5,1
42431,"Adrian Ricchiuti",75,148,50,1
183482,"Adrian Sardinero Corpa",66,114,4,1
168047,"Adrian Stoian",72,141,12,1
114790,"Adrian Winter",66,121,129,1
169756,"Adrian",78,388,121,2
167648,"Adriano De Pierro",59,130,16,1
280969,"Adriano Facchini",72,363,118,1
39190,"Adriano Ferreira Pinto",75,145,48,1
172172,"Adriano Jose de Lara",65,41,1,1
39199,"Adriano Pereira da Silva",69,126,62,1
38122,"Adriano Russo",68,50,9,1
121923,"Adriano",69,125,1,1
30690,"Adriano",89,118,11,1
33992,"Adriano",79,147,132,1
41109,"Adriano",70,141,13,1
171737,"Adrien Goni",63,132,1,1
447107,"Adrien Hunou",65,44,4,1
352879,"Adrien Rabiot",77,52,54,1
557353,"Adrien Rawyler",50,36,1,1
188413,"Adrien Regattin",77,123,67,1
40930,"Adrien Silva",80,106,146,1
317062,"Adrien Thomasson",73,60,50,1
242719,"Adrien Trebel",74,61,51,2
263276,"Adryan",73,43,21,2
35608,"Afonso Alves,24",84,130,24,1
361711,"Afonso",74,52,44,1
213366,"Afriyie Acquah",74,39,80,1
441441,"Ager Aketxe",74,64,5,1
118883,"Agim Ibraimi",74,54,8,1
119305,"Agon Mehmeti",67,108,15,2
256728,"Agustin Vuletich",65,56,2,1
45872,"Ahmed Ammi",66,137,72,1
41399,"Ahmed Apimah Barusso",71,137,1,1
513810,"Ahmed El Messaoudi",65,45,28,1
111930,"Ahmed El Mohamady",77,47,109,1
561140,"Ahmed Hamoudi",66,54,4,1
403003,"Ahmed Hassan Koka",76,62,66,1
297556,"Ahmed Hegazy",66,51,1,1
41182,"Ahmed Kantari",72,136,101,1
120917,"Ahmed Kashi",70,121,15,1
232103,"Ahmed Musa",76,61,34,1
174597,"Ahmed Saied Okka",65,55,23,1
174600,"Ahmed Samir Farag",64,53,7,1
148953,"Ahmed Soukouna",53,101,1,1
441166,"Ahmet Ozcan",50,53,1,1
410141,"Aidan Connolly",61,63,9,1
582500,"Aidan Nesbitt",53,56,4,1
199829,"Aiden Chippendale",56,138,1,1
32448,"Aiden McGeady",83,143,70,2
34319,"Aimo Stefano Diana",79,114,52,2
213737,"Airam Cabrera",65,118,20,1
133535,"Airton",76,149,10,1
128843,"Aislan",67,125,17,1
715642,"Aissa Laidouni",59,61,1,1
210683,"Aissa Mandi",79,64,124,1
185301,"Aitor Nunez",67,128,4,1
33993,"Aitor Ocio",77,138,34,1
24160,"Aiyegbeni Yakubu",84,134,59,1
243127,"Akaki Gogia",69,58,4,1
20771,"Akihiro Ienaga",74,57,4,1
244128,"Akoete Eninful",59,56,3,1
23163,"Akos Buzsaky",72,144,10,1
31255,"Akpo Sodje",69,130,13,1
127255,"Akwetey Mensah",60,54,10,1
33451,"Alaeddine Yahia",72,125,107,1
26085,"Alain Cantareil",68,124,7,1
34268,"Alain Nef",71,131,167,2
182847,"Alain Pierre Mendy",58,57,2,1
36785,"Alain Rochat",72,127,104,1
67393,"Alain Schultz",64,87,36,1
34417,"Alain Traore",76,103,76,1
95220,"Alain Wiss",63,117,139,1
32693,"Alan Combe",68,337,37,1
32547,"Alan Gow",71,140,17,1
37085,"Alan Haydock",64,149,11,1
267728,"Alan Henrique",71,54,5,1
32870,"Alan Hutton",79,145,135,2
92935,"Alan Kardec",76,123,9,1
14100,"Alan Mannus",69,341,156,1
32845,"Alan Martin",60,312,1,1
23081,"Alan Maybury",66,143,76,1
24024,"Alan O'Brien",69,138,14,1
667963,"Alan Schons",70,45,5,1
30248,"Alan Smith",80,140,11,1
23881,"Alan Tate",69,118,8,2
312585,"Alan Uryga",61,60,56,1
25926,"Alan",79,137,157,1
441173,"Alassane Diallo",62,57,1,1
294859,"Alassane Plea",75,69,44,1
289250,"Alassane Tambe",66,105,30,2
160220,"Alassane Toure",67,63,21,1
121488,"Alban Joinel",61,312,1,1
698273,"Alban Lafont",70,355,24,1
94883,"Alban Meha",74,61,13,1
177689,"Alban Pnishi",63,58,21,1
37503,"Albano Benjamin Bizzarri",80,402,108,1
41173,"Albert Baning",68,132,8,1
35831,"Albert Bunjaku",74,117,74,2
45605,"Albert Crusat",76,119,89,2
37483,"Albert Meyong Ze",79,135,57,1
396912,"Albert Rafetraniaina",62,66,13,1
37920,"Albert Riera",82,147,33,1
484858,"Albert Rusnak",74,53,60,1
36066,"Albert Streit",81,132,4,1
27694,"Alberto Aquilani",83,155,134,3
107929,"Alberto Botia",77,137,133,1
299879,"Alberto Brignoli",68,334,1,1
41168,"Alberto Bueno",77,119,88,2
38395,"Alberto Cifuentes",71,354,15,1
47565,"Alberto De la Bella",78,134,136,1
39425,"Alberto Fontana",77,384,4,1
30143,"Alberto Frison,18",74,362,18,1
102394,"Alberto Garcia",70,352,6,1
30881,"Alberto Gilardino",85,117,226,1
42460,"Alberto Giuliatto",64,130,25,1
575364,"Alberto Grassi",70,49,15,1
543020,"Alberto Guitian",68,119,1,1
37451,"Alberto Lopo",80,139,169,1
32763,"Alberto Luque,21",79,141,21,1
39743,"Alberto Maria Fontana",66,321,12,1
314605,"Alberto Moreno",79,54,93,2
109121,"Alberto Paloschi",77,106,132,2
39302,"Alberto Pelagotti",67,336,6,1
231977,"Alberto Perea",69,37,6,1
74028,"Alberto Pomini",67,326,6,1
42121,"Alberto Regazzoni",68,123,80,1
2790,"Alberto Rey",73,144,50,1
30273,"Alberto Rivera",75,154,97,1
88521,"Alberto Rodriguez",78,123,82,1
38576,"Alberto Zapater",75,149,35,2
527104,"Albian Ajeti",64,56,3,1
