"team_api_id","team_long_name","chance_creation","build_up_play","defense","awayGoals","homeGoals","goals"
9987,"KRC Genk",182,148,205,143,205,348
9993,"Beerschot AC",185,NA,210,62,112,174
10000,"SV Zulte-Waregem",153,147,200,130,176,306
9994,"Sporting Lokeren",154,159,200,130,149,279
9984,"KSV Cercle Brugge",200,145,195,94,119,213
8635,"RSC Anderlecht",182,149,190,180,247,427
9991,"KAA Gent",184,142,166,177,213,390
9998,"RAEC Mons",168,160,138,53,76,129
7947,"FCV Dender EH",NA,NA,NA,23,21,44
9985,"Standard de Liège",182,161,205,142,199,341
8203,"KV Mechelen",150,134,190,123,162,285
8342,"Club Brugge KV",170,139,200,186,235,421
9999,"KSV Roeselare",125,NA,205,26,36,62
8571,"KV Kortrijk",159,129,185,104,163,267
4049,"Tubize",NA,NA,NA,13,22,35
9996,"Royal Excel Mouscron",150,150,140,14,28,42
10001,"KVC Westerlo",167,148,210,93,124,217
9986,"Sporting Charleroi",148,160,210,88,113,201
9997,"Sint-Truidense VV",154,NA,150,45,70,115
9989,"Lierse SK",169,171,159,44,69,113
6351,"KAS Eupen",160,NA,155,13,15,28
1773,"Oud-Heverlee Leuven",157,153,137,52,74,126
8475,"Waasland-Beveren",140,132,114,55,50,105
8573,"KV Oostende",140,155,133,40,62,102
274581,"Royal Excel Mouscron",150,150,140,30,41,71
10260,"Manchester United",200,134,163,244,338,582
10261,"Newcastle United",195,152,161,125,199,324
9825,"Arsenal",150,140,170,267,306,573
8659,"West Bromwich Albion",195,145,210,128,177,305
8472,"Sunderland",195,154,165,149,184,333
8650,"Liverpool",180,171,172,237,294,531
8654,"West Ham United",171,184,140,131,195,326
8528,"Wigan Athletic",190,144,165,94,106,200
10252,"Aston Villa",185,170,145,156,179,335
8456,"Manchester City",210,123,180,241,365,606
8668,"Everton",180,137,180,181,258,439
8655,"Blackburn Rovers",185,185,160,77,98,175
8549,"Middlesbrough",190,144,147,11,17,28
8586,"Tottenham Hotspur",210,133,181,226,255,481
8559,"Bolton Wanderers",185,167,154,77,104,181
10194,"Stoke City",195,138,153,118,204,322
8667,"Hull City",195,151,210,65,79,144
9879,"Fulham",190,142,138,92,173,265
8455,"Chelsea",200,157,168,250,333,583
8462,"Portsmouth",195,148,150,22,50,72
8658,"Birmingham City",210,174,210,37,38,75
8602,"Wolverhampton Wanderers",210,136,210,56,62,118
8191,"Burnley",210,154,205,31,39,70
8483,"Blackpool",205,183,210,25,30,55
10003,"Swansea City",210,131,210,98,135,233
10172,"Queens Park Rangers",210,141,210,55,60,115
9850,"Norwich City",195,138,200,64,96,160
8466,"Southampton",205,129,210,82,134,216
9798,"Reading",210,144,200,20,23,43
9826,"Crystal Palace",205,173,185,61,58,119
8344,"Cardiff City",210,168,210,12,20,32
8197,"Leicester City",185,164,210,51,63,114
8678,"Bournemouth",200,139,210,22,23,45
9817,"Watford",205,160,205,20,20,40
8583,"AJ Auxerre",164,168,145,70,98,168
9830,"FC Nantes",160,189,152,56,79,135
9827,"Girondins de Bordeaux",190,139,195,176,228,404
7819,"SM Caen",165,157,205,111,109,220
9746,"Le Havre AC",180,154,168,13,17,30
9831,"OGC Nice",165,175,210,144,198,342
8682,"Le Mans FC",195,NA,200,39,40,79
8689,"FC Lorient",180,158,200,164,214,378
9748,"Olympique Lyonnais",185,161,200,208,289,497
9941,"Toulouse FC",165,158,140,145,194,339
9829,"AS Monaco",165,168,205,134,153,287
9847,"Paris Saint-Germain",191,174,210,236,332,568
8481,"AS Nancy-Lorraine",172,146,210,100,103,203
8639,"LOSC Lille",184,152,180,180,270,450
9851,"Stade Rennais FC",195,167,210,162,205,367
8592,"Olympique de Marseille",210,169,200,208,254,462
9874,"FC Sochaux-Montbéliard",184,164,165,102,144,246
9855,"Grenoble Foot 38",195,NA,195,22,33,55
9873,"Valenciennes FC",188,160,155,94,162,256
9853,"AS Saint-Étienne",175,165,148,148,223,371
8588,"RC Lens",180,165,200,46,61,107
10249,"Montpellier Hérault SC",160,162,210,151,193,344
4170,"US Boulogne Cote D'Opale",165,NA,200,12,19,31
108893,"AC Arles-Avignon",141,156,158,7,14,21
8521,"Stade Brestois 29",168,161,210,39,60,99
8576,"AC Ajaccio",180,168,140,52,64,116
4087,"Évian Thonon Gaillard FC",180,156,165,75,105,180
9836,"Dijon FCO",165,154,149,15,23,38
9837,"Stade de Reims",165,154,140,70,98,168
7794,"SC Bastia",156,174,210,64,101,165
10242,"ES Troyes AC",150,148,140,33,38,71
9747,"En Avant de Guingamp",170,169,145,47,75,122
8550,"FC Metz",175,152,150,5,26,31
8121,"Angers SCO",180,159,140,20,20,40
6391,"GFC Ajaccio",179,153,146,14,23,37
9823,"FC Bayern Munich",205,97,184,271,382,653
9790,"Hamburger SV",200,164,175,166,178,344
8178,"Bayer 04 Leverkusen",210,157,200,213,270,483
9789,"Borussia Dortmund",194,170,178,253,298,551
10189,"FC Schalke 04",195,143,185,174,252,426
9904,"Hannover 96",175,144,210,141,218,359
8721,"VfL Wolfsburg",210,170,171,189,274,463
8722,"1. FC Köln",165,171,170,110,116,226
9810,"Eintracht Frankfurt",165,153,151,120,176,296
8177,"Hertha BSC Berlin",172,175,155,119,119,238
9912,"DSC Arminia Bielefeld",165,166,138,13,16,29
8697,"SV Werder Bremen",216,174,205,193,230,423
8398,"FC Energie Cottbus",175,126,206,11,19,30
8226,"TSG 1899 Hoffenheim",191,180,200,178,222,400
9788,"Borussia Mönchengladbach",185,116,160,161,242,403
10269,"VfB Stuttgart",200,168,175,196,219,415
8295,"Karlsruher SC",205,164,170,12,18,30
9911,"VfL Bochum",172,164,172,31,41,72
8358,"SC Freiburg",160,151,158,112,133,245
8165,"1. FC Nürnberg",180,153,162,85,108,193
9905,"1. FSV Mainz 05",185,178,170,149,171,320
8350,"1. FC Kaiserslautern",185,167,210,35,37,72
8152,"FC St. Pauli",190,161,185,14,21,35
8406,"FC Augsburg",188,169,161,89,112,201
8194,"Fortuna Düsseldorf",190,198,169,15,24,39
8357,"SpVgg Greuther Fürth",170,167,170,16,10,26
9776,"Eintracht Braunschweig",195,183,157,11,18,29
8460,"SC Paderborn 07",168,175,145,10,21,31
8234,"FC Ingolstadt 04",151,160,140,11,22,33
8262,"SV Darmstadt 98",174,179,129,23,15,38
8524,"Atalanta",170,146,165,113,170,283
8551,"Siena",183,144,160,74,75,149
8529,"Cagliari",196,167,187,128,181,309
8543,"Lazio",220,188,190,178,239,417
8530,"Catania",178,175,147,96,155,251
10233,"Genoa",182,184,154,143,249,392
8533,"Chievo Verona",170,187,165,141,144,285
8690,"Reggio Calabria",186,163,140,7,23,30
8535,"Fiorentina",172,121,184,194,246,440
9885,"Juventus",195,105,169,236,307,543
8564,"Milan",177,170,164,225,271,496
9857,"Bologna",175,164,135,108,155,263
8686,"Roma",208,153,155,231,299,530
9875,"Napoli",215,180,165,211,303,514
9882,"Sampdoria",180,130,175,128,190,318
8636,"Inter",203,182,165,216,280,496
9804,"Torino",189,209,145,116,125,241
9888,"Lecce",175,NA,165,53,68,121
8600,"Udinese",199,205,160,179,236,415
8540,"Palermo",165,168,152,126,225,351
9976,"Bari",193,157,161,34,42,76
8537,"Livorno",172,183,163,24,42,66
10167,"Parma",176,152,166,121,151,272
9880,"Cesena",170,143,145,47,51,98
9858,"Brescia",180,141,155,12,22,34
6269,"Novara",172,179,151,15,19,34
9878,"Pescara",180,152,145,12,15,27
9876,"Hellas Verona",173,157,169,62,83,145
7943,"Sassuolo",186,188,138,68,73,141
8534,"Empoli",186,145,164,38,48,86
9891,"Frosinone",156,157,193,17,18,35
208931,"Carpi",160,190,141,14,23,37
8277,"Vitesse",173,145,180,189,234,423
8674,"FC Groningen",177,142,149,165,225,390
9803,"Roda JC Kerkrade",159,133,146,151,192,343
8611,"FC Twente",172,131,197,220,289,509
8525,"Willem II",166,150,153,82,140,222
8593,"Ajax",199,117,193,287,360,647
8464,"N.E.C.",158,150,146,136,174,310
8526,"De Graafschap",153,NA,137,49,81,130
9908,"FC Utrecht",182,152,159,163,245,408
8640,"PSV",200,153,167,282,370,652
9791,"Heracles Almelo",173,147,169,168,235,403
10235,"Feyenoord",165,154,160,198,291,489
8614,"Sparta Rotterdam",140,NA,90,32,44,76
10217,"ADO Den Haag",181,162,173,162,204,366
6601,"FC Volendam",NA,NA,NA,11,27,38
10228,"SC Heerenveen",171,150,183,203,267,470
10229,"AZ",185,154,184,213,279,492
9761,"NAC Breda",141,153,143,124,170,294
10219,"RKC Waalwijk",159,142,150,61,92,153
9839,"VVV-Venlo",164,NA,155,51,101,152
10218,"Excelsior",162,163,106,64,90,154
6413,"PEC Zwolle",165,137,181,80,124,204
7788,"SC Cambuur",159,136,138,52,67,119
6433,"Go Ahead Eagles",132,160,141,33,41,74
6631,"FC Dordrecht",176,134,164,9,15,24
10265,"Wisła Kraków",183,135,205,164,168,332
8031,"Polonia Bytom",150,NA,185,33,55,88
8020,"Polonia Bytom",150,NA,185,96,149,245
1601,"Ruch Chorzów",186,139,175,132,148,280
8673,"Legia Warszawa",170,141,195,169,240,409
2183,"P. Warszawa",180,NA,175,88,96,184
8025,"Śląsk Wrocław",165,140,180,142,176,318
8030,"Lechia Gdańsk",183,162,205,124,155,279
8244,"Widzew Łódź",185,190,158,23,27,50
8242,"Odra Wodzisław",155,NA,205,21,29,50
2182,"Lech Poznań",196,176,160,157,215,372
8569,"GKS Bełchatów",175,143,200,76,114,190
8322,"Arka Gdynia",150,NA,205,25,52,77
1957,"Jagiellonia Białystok",163,158,210,111,176,287
8028,"Piast Gliwice",169,183,195,89,115,204
2186,"Cracovia",168,125,205,91,144,235
8245,"Korona Kielce",169,192,172,88,149,237
8021,"Zagłębie Lubin",192,133,210,91,116,207
8024,"Widzew Łódź",185,190,158,45,77,122
8033,"Podbeskidzie Bielsko-Biała",166,193,152,84,85,169
8023,"Pogoń Szczecin",185,134,158,67,85,152
8027,"Zawisza Bydgoszcz",168,145,143,32,43,75
8019,"Górnik Łęczna",139,140,149,18,43,61
177361,"Termalica Bruk-Bet Nieciecza",NA,NA,NA,12,21,33
9773,"FC Porto",196,173,178,246,295,541
9807,"CF Os Belenenses",160,157,135,65,83,148
9768,"Sporting CP",204,178,174,187,224,411
7992,"Trofense",NA,NA,NA,11,14,25
7844,"Vitória Guimarães",179,131,177,144,156,300
10238,"Vitória Setúbal",165,149,140,103,135,238
6403,"FC Paços de Ferreira",170,142,150,126,166,292
10264,"SC Braga",166,145,150,159,239,398
10213,"Amadora",NA,NA,NA,10,16,26
10215,"Académica de Coimbra",172,150,151,104,136,240
7841,"Rio Ave FC",180,157,153,117,131,248
9772,"SL Benfica",185,178,175,247,321,568
6421,"Leixões SC",165,NA,90,20,35,55
10214,"CD Nacional",165,167,156,145,187,332
9809,"Naval 1° de Maio",165,NA,121,34,37,71
10212,"CS Marítimo",186,182,144,145,171,316
9771,"União de Leiria, SAD",150,NA,154,40,45,85
2033,"S.C. Olhanense",165,147,155,68,70,138
9765,"Portimonense",NA,NA,NA,11,18,29
10211,"SC Beira Mar",165,NA,155,42,51,93
4064,"Feirense",NA,NA,NA,14,13,27
9764,"Gil Vicente FC",152,176,149,49,61,110
8348,"Moreirense FC",144,139,138,48,53,101
7842,"Estoril Praia",139,174,150,71,96,167
158085,"FC Arouca",160,174,113,45,56,101
6547,"FC Penafiel",146,147,121,12,17,29
8613,"Boavista FC",128,153,148,21,30,51
6367,"Uniao da Madeira",NA,NA,NA,8,19,27
188163,"Tondela",NA,NA,NA,19,15,34
8596,"Falkirk",200,NA,200,32,36,68
8548,"Rangers",210,153,200,147,177,324
9860,"Heart of Midlothian",210,168,200,128,189,317
9927,"Motherwell",205,172,200,175,228,403
8597,"Kilmarnock",205,167,200,158,188,346
10251,"Hibernian",200,148,200,123,136,259
8485,"Aberdeen",210,184,200,179,186,365
8066,"Inverness Caledonian Thistle",174,169,139,168,177,345
9925,"Celtic",205,180,200,306,389,695
9800,"St. Mirren",210,178,200,120,137,257
8429,"Hamilton Academical FC",200,143,195,85,100,185
9938,"Dundee United",205,171,200,206,232,438
8467,"St. Johnstone FC",150,162,142,141,167,308
8457,"Dunfermline Athletic",168,NA,148,18,22,40
8284,"Dundee FC",158,142,154,55,72,127
8649,"Ross County FC",153,153,143,95,97,192
8426,"Partick Thistle F.C.",160,143,143,61,74,135
10267,"Valencia CF",185,116,175,185,299,484
8661,"RCD Mallorca",163,172,156,91,147,238
8371,"CA Osasuna",193,143,177,95,137,232
10205,"Villarreal CF",161,126,165,146,218,364
9783,"RC Deportivo de La Coruña",187,157,154,97,144,241
8633,"Real Madrid CF",200,153,178,338,505,843
8388,"CD Numancia",160,137,158,15,23,38
8634,"FC Barcelona",175,122,195,354,495,849
8696,"Racing Santander",205,147,168,79,81,160
8302,"Sevilla FC",206,183,195,193,285,478
9869,"Real Sporting de Gijón",185,153,195,81,119,200
8305,"Getafe CF",155,117,164,143,202,345
8603,"Real Betis Balompié",206,145,165,109,116,225
8479,"RC Recreativo",140,148,151,17,17,34
8558,"RCD Espanyol",196,146,180,133,205,338
10281,"Real Valladolid",172,153,161,76,94,170
8315,"Athletic Club de Bilbao",184,131,170,165,250,415
9865,"UD Almería",180,152,193,81,121,202
