Rank,Player,Team,Pos,1st NHL Season,Last NHL Season,GP,G,A,P,+/-,PIM,PP,SH,GW,GT,OT,Shots
1,Wayne Gretzky,,C,1979-1980,1998-1999,1487,894,1963,2857,518,577,204,73,91,12,1,5089
2,Mark Messier,,C,1979-1980,2003-2004,1756,694,1193,1887,210,1910,179,63,92,15,7,4219
3,Gordie Howe,,R,1946-1947,1979-1980,1767,801,1049,1850,87,1685,39,5,18,,,
4,Ron Francis,,C,1981-1982,2003-2004,1731,549,1249,1798,-10,979,188,12,79,13,3,3754
5,Marcel Dionne,,C,1971-1972,1988-1989,1348,731,1040,1771,28,600,234,19,74,1,2,5366
6,Steve Yzerman,,C,1983-1984,2005-2006,1514,692,1063,1755,202,924,202,50,94,12,8,4602
7,Mario Lemieux,,C,1984-1985,2005-2006,915,690,1033,1723,115,834,236,49,74,7,7,3633
8,Jaromir Jagr,NJD,R,1990-1991,2012-2013,1391,681,1007,1688,278,959,195,11,118,11,17,4881
9,Joe Sakic,,C,1988-1989,2008-2009,1378,625,1016,1641,30,614,205,32,86,13,7,4621
10,Phil Esposito,,C,1963-1964,1980-1981,1282,717,873,1590,197,910,249,23,118,,,
11,Ray Bourque,,D,1979-1980,2000-2001,1612,410,1169,1579,528,1141,173,16,60,14,4,6206
12,Mark Recchi,,R,1988-1989,2010-2011,1652,577,956,1533,0,1033,200,18,91,6,6,3820
13,Paul Coffey,,D,1980-1981,2000-2001,1409,396,1135,1531,294,1802,135,20,43,4,0,4385
14,Stan Mikita,,C,1958-1959,1979-1980,1394,541,926,1467,159,1270,86,9,48,,,
15,Teemu Selanne,,R,1992-1993,2012-2013,1387,675,755,1430,87,648,251,7,107,11,9,4429
16,Bryan Trottier,,C,1975-1976,1993-1994,1279,524,901,1425,452,912,161,19,68,2,0,2841
17,Adam Oates,,C,1985-1986,2003-2004,1337,341,1079,1420,35,415,103,12,56,6,5,2392
18,Doug Gilmour,,C,1983-1984,2002-2003,1474,450,964,1414,132,1301,153,18,56,15,2,2833
19,Dale Hawerchuk,,C,1981-1982,1996-1997,1188,518,891,1409,-92,740,182,13,49,3,2,3754
20,Jari Kurri,,R,1980-1981,1997-1998,1251,601,797,1398,282,545,150,37,67,7,3,3142
21,Luc Robitaille,,L,1986-1987,2005-2006,1431,668,726,1394,72,1177,247,3,89,14,7,3961
22,Brett Hull,,R,1985-1986,2005-2006,1269,741,650,1391,23,458,265,20,110,12,12,4876
23,Mike Modano,,C,1988-1989,2010-2011,1499,561,813,1374,114,926,157,29,92,15,9,4273
24,John Bucyk,,L,1955-1956,1977-1978,1540,556,813,1369,146,497,121,1,59,,,
25,Brendan Shanahan,,L,1987-1988,2008-2009,1524,656,698,1354,151,2489,237,23,109,15,12,5086
26,Guy Lafleur,,R,1971-1972,1990-1991,1126,560,793,1353,453,399,153,3,97,0,0,3521
27,Mats Sundin,,C,1990-1991,2008-2009,1346,564,785,1349,73,1093,160,31,96,11,15,4015
28,Dave Andreychuk,,L,1982-1983,2005-2006,1639,640,698,1338,38,1125,274,11,77,17,5,4556
29,Denis Savard,,C,1980-1981,1996-1997,1196,473,865,1338,97,1336,127,20,56,4,1,3143
30,Mike Gartner,,R,1979-1980,1997-1998,1432,708,627,1335,67,1159,217,23,90,9,4,5090
31,Pierre Turgeon,,C,1987-1988,2006-2007,1294,515,812,1327,139,452,190,10,86,10,11,3154
32,Gilbert Perreault,,C,1970-1971,1986-1987,1191,512,814,1326,42,500,134,8,81,,,3079
33,Alex Delvecchio,,C,1950-1951,1973-1974,1549,456,825,1281,33,383,38,0,17,,,
34,Al Macinnis,,D,1981-1982,2003-2004,1416,340,934,1274,373,1511,166,10,44,6,3,5157
35,Jean Ratelle,,C,1960-1961,1980-1981,1281,491,776,1267,299,276,128,4,60,,,
36,Peter Stastny,,C,1980-1981,1994-1995,977,450,789,1239,-12,824,145,7,54,2,1,2374
37,Phil Housley,,D,1982-1983,2002-2003,1495,338,894,1232,-53,822,129,7,49,8,4,3808
38,Norm Ullman,,C,1955-1956,1974-1975,1410,490,739,1229,40,712,53,2,14,,,
39,Jean Beliveau,,C,1950-1951,1970-1971,1125,507,712,1219,67,1029,26,0,13,,,
40,Jeremy Roenick,,C,1988-1989,2008-2009,1363,513,703,1216,153,1463,184,28,92,12,5,3281
41,Larry Murphy,,D,1980-1981,2000-2001,1615,287,929,1216,179,1084,114,9,36,12,3,3606
42,Bobby Clarke,,C,1969-1970,1983-1984,1144,358,852,1210,506,1453,99,32,38,,,2587
43,Bernie Nicholls,,C,1981-1982,1998-1999,1127,475,734,1209,-38,1292,152,28,35,5,5,3231
44,Vincent Damphousse,,C,1986-1987,2003-2004,1378,432,773,1205,9,1190,130,17,78,8,5,3511
45,Dino Ciccarelli,,R,1980-1981,1998-1999,1232,608,592,1200,-2,1425,232,1,73,8,0,3706
46,Rod Brind'Amour,,C,1988-1989,2009-2010,1484,452,732,1184,-39,1100,149,28,67,11,8,3290
47,Sergei Fedorov,,C,1990-1991,2008-2009,1248,483,696,1179,261,839,144,36,93,4,15,3985
48,Bobby Hull,,L,1957-1958,1979-1980,1063,610,560,1170,105,640,59,9,45,,,
49,Michel Goulet,,L,1979-1980,1993-1994,1089,548,604,1152,97,825,178,16,64,2,2,3143
50,Nicklas Lidstrom,,D,1991-1992,2011-2012,1564,264,878,1142,450,514,132,10,35,4,4,3875
51,Bernard Federko,,C,1976-1977,1989-1990,1000,369,761,1130,-132,487,119,2,40,3,0,2076
52,Mike Bossy,,R,1977-1978,1986-1987,752,573,553,1126,381,210,181,8,82,,,2705
53,Joe Nieuwendyk,,C,1986-1987,2006-2007,1257,564,562,1126,155,677,215,12,93,8,7,3242
54,Darryl Sittler,,C,1970-1971,1984-1985,1096,484,637,1121,53,948,150,10,57,,,3812
55,Joe Thornton,SJS,C,1997-1998,2012-2013,1125,331,787,1118,158,989,115,6,52,2,8,2304
56,Daniel Alfredsson,DET,R,1995-1996,2012-2013,1178,426,682,1108,153,500,131,25,69,7,4,3320
