n-gram (n =2),Location
"{abundat,intus}",prud. epil. 4 |4.5|
"{abundo,intus}",prud. epil. 4 |4.5|
"{ad,congruens}",prud. epil. 22 |3.5|
"{ad,congruo}",prud. epil. 22 |3.5|
"{ad,erilem}",prud. epil. 22 |3.6|
"{ad,erilis}",prud. epil. 22 |3.6|
"{ad,leuamen}",prud. epil. 10 |2.3|
"{ad,pauper}",prud. epil. 10 |2.4|
"{ad,pauperum}",prud. epil. 10 |2.4|
"{ad,possum}",prud. epil. 10 |2.5|
"{ad,potens}",prud. epil. 10 |2.5|
"{ad,potentes}",prud. epil. 10 |2.5|
"{ad,usum}",prud. epil. 22 |3.4|
"{ad,usus}",prud. epil. 22 |3.4|
"{ad,utor}",prud. epil. 22 |3.4|
"{aer,defio}",prud. epil. 16 |2.3|
"{aer,defit}",prud. epil. 16 |2.3|
"{aer,expolio}",prud. epil. 16 |2.4|
"{aer,expolita}",prud. epil. 16 |2.4|
"{aer,peluis}",prud. epil. 16 |2.5|
"{aere,defio}",prud. epil. 16 |2.3|
"{aere,defit}",prud. epil. 16 |2.3|
"{aere,expolio}",prud. epil. 16 |2.4|
"{aere,expolita}",prud. epil. 16 |2.4|
"{aere,peluis}",prud. epil. 16 |2.5|
"{aes,defio}",prud. epil. 16 |2.3|
"{aes,defit}",prud. epil. 16 |2.3|
"{aes,expolio}",prud. epil. 16 |2.4|
"{aes,expolita}",prud. epil. 16 |2.4|
"{aes,peluis}",prud. epil. 16 |2.5|
"{alter,et}",prud. epil. 5 |1.2|
"{alter,pecunia}",prud. epil. 5 |1.3|
"{alter,pecuniam}",prud. epil. 5 |1.3|
"{alto,et}",prud. epil. 5 |1.2|
"{alto,pecunia}",prud. epil. 5 |1.3|
"{alto,pecuniam}",prud. epil. 5 |1.3|
"{ampla,argentea}",prud. epil. 18 |3.4|
"{ampla,argenteus}",prud. epil. 18 |3.4|
"{ampla,est}",prud. epil. 18 |3.5|
"{ampla,parapsis}",prud. epil. 18 |3.6|
"{ampla,sum}",prud. epil. 18 |3.5|
"{amplo,argentea}",prud. epil. 18 |3.4|
"{amplo,argenteus}",prud. epil. 18 |3.4|
"{amplo,est}",prud. epil. 18 |3.5|
"{amplo,parapsis}",prud. epil. 18 |3.6|
"{amplo,sum}",prud. epil. 18 |3.5|
"{amplus,argentea}",prud. epil. 18 |3.4|
"{amplus,argenteus}",prud. epil. 18 |3.4|
"{amplus,est}",prud. epil. 18 |3.5|
"{amplus,parapsis}",prud. epil. 18 |3.6|
"{amplus,sum}",prud. epil. 18 |3.5|
"{anguli,maneo}",prud. epil. 28 |4.5|
"{anguli,manere}",prud. epil. 28 |4.5|
"{anguli,mano}",prud. epil. 28 |4.5|
"{angulos,supellex}",prud. epil. 14 |5.6|
"{angulus,maneo}",prud. epil. 28 |4.5|
"{angulus,manere}",prud. epil. 28 |4.5|
"{angulus,mano}",prud. epil. 28 |4.5|
"{angulus,supellex}",prud. epil. 14 |5.6|
"{approbat,deus}",prud. epil. 11 |1.3|
"{approbat,tamen}",prud. epil. 11 |1.2|
"{approbo,deus}",prud. epil. 11 |1.3|
"{approbo,tamen}",prud. epil. 11 |1.2|
"{aptat,usibus}",prud. epil. 27 |2.3|
"{aptat,usus}",prud. epil. 27 |2.3|
"{apto,usibus}",prud. epil. 27 |2.3|
"{apto,usus}",prud. epil. 27 |2.3|
"{argentea,est}",prud. epil. 18 |4.5|
"{argentea,parapsis}",prud. epil. 18 |4.6|
"{argentea,sum}",prud. epil. 18 |4.5|
"{argenteus,est}",prud. epil. 18 |4.5|
"{argenteus,parapsis}",prud. epil. 18 |4.6|
"{argenteus,sum}",prud. epil. 18 |4.5|
"{attamen,inferus}",prud. epil. 31 |1.3|
"{attamen,infimam}",prud. epil. 31 |1.3|
"{attamen,uel}",prud. epil. 31 |1.2|
"{aureus,scyphus}",prud. epil. 15 |2.3|
"{aurum,christum}",prud. epil. 34 |2.4|
"{aurum,christus}",prud. epil. 34 |2.4|
"{aurum,personasse}",prud. epil. 34 |2.3|
"{beata,abundat}",prud. epil. 4 |2.4|
"{beata,abundo}",prud. epil. 4 |2.4|
"{beata,intus}",prud. epil. 4 |2.5|
"{beata,mens}",prud. epil. 4 |2.3|
"{beatum,abundat}",prud. epil. 4 |2.4|
"{beatum,abundo}",prud. epil. 4 |2.4|
"{beatum,intus}",prud. epil. 4 |2.5|
"{beatum,mens}",prud. epil. 4 |2.3|
"{beatus,abundat}",prud. epil. 4 |2.4|
"{beatus,abundo}",prud. epil. 4 |2.4|
"{beatus,intus}",prud. epil. 4 |2.5|
"{beatus,mens}",prud. epil. 4 |2.3|
"{benignus,audio}",prud. epil. 12 |4.5|
"{benignus,audit}",prud. epil. 12 |4.5|
"{beo,abundat}",prud. epil. 4 |2.4|
"{beo,abundo}",prud. epil. 4 |2.4|
"{beo,intus}",prud. epil. 4 |2.5|
"{beo,mens}",prud. epil. 4 |2.3|
"{carmen,audio}",prud. epil. 12 |2.5|
"{carmen,audit}",prud. epil. 12 |2.5|
"{carmen,benignus}",prud. epil. 12 |2.4|
"{carmen,et}",prud. epil. 12 |2.3|
"{cauata,et}",prud. epil. 20 |4.5|
"{cauata,ulmo}",prud. epil. 20 |4.6|
"{cauata,ulmus}",prud. epil. 20 |4.6|
"{cauo,et}",prud. epil. 20 |4.5|
"{cauo,ulmo}",prud. epil. 20 |4.6|
"{cauo,ulmus}",prud. epil. 20 |4.6|
"{christus,aptat}",prud. epil. 27 |1.2|
"{christus,apto}",prud. epil. 27 |1.2|
"{christus,usibus}",prud. epil. 27 |1.3|
"{christus,usus}",prud. epil. 27 |1.3|
"{cieo,iambicos}",prud. epil. 7 |2.3|
"{citos,iambicos}",prud. epil. 7 |2.3|
