n-gram (n =2),Location
"{a,contraria}",prud. ham. 2.567 |1.4|
"{a,contrarium}",prud. ham. 2.567 |1.4|
"{a,contrarius}",prud. ham. 2.567 |1.4|
"{a,paternis}",prud. ham. 2.567 |1.6|
"{a,paternus}",prud. ham. 2.567 |1.6|
"{a,pietas}",prud. ham. 2.567 |1.2|
"{a,signa}",prud. ham. 2.567 |1.5|
"{a,signis}",prud. ham. 2.567 |1.3|
"{a,signo}",prud. ham. 2.567 |1.5|
"{a,signum}","prud. ham. 2.567 |1.3| , prud. ham. 2.567 |1.5|"
"{a,spiritu}",prud. ham. 1.37 |4.5|
"{a,spiritus}",prud. ham. 1.37 |4.5|
"{ab,alo}",prud. ham. 2.646 |7.8|
"{ab,alto}",prud. ham. 2.646 |7.8|
"{ab,altum}",prud. ham. 2.646 |7.8|
"{ab,altus}",prud. ham. 2.646 |7.8|
"{ab,arce}",prud. ham. 2.18 |7.8|
"{ab,arceo}",prud. ham. 2.18 |7.8|
"{ab,arx}",prud. ham. 2.18 |7.8|
"{ab,aure}",prud. ham. 2.655 |5.6|
"{ab,auris}",prud. ham. 2.655 |5.6|
"{ab,auro}",prud. ham. 2.257 |7.8|
"{ab,aurum}","prud. ham. 2.257 |7.8| , prud. ham. 2.608 |6.7| , prud. ham. 2.655 |5.6| , prud. ham. 2.932 |2.3|"
"{ab,contraria}",prud. ham. 2.567 |1.4|
"{ab,contrarium}",prud. ham. 2.567 |1.4|
"{ab,contrarius}",prud. ham. 2.567 |1.4|
"{ab,deus}",prud. ham. 2.932 |2.4|
"{ab,ille}",prud. ham. 2.203 |6.7|
"{ab,illo}",prud. ham. 2.203 |6.7|
"{ab,ipse}",prud. ham. 2.673 |6.7|
"{ab,ipso}",prud. ham. 2.673 |6.7|
"{ab,ipso’}",prud. ham. 2.183 |8.9|
"{ab,labe}",prud. ham. 2.841 |4.6|
"{ab,labes}",prud. ham. 2.841 |4.6|
"{ab,omni}",prud. ham. 2.841 |4.5|
"{ab,omnis}",prud. ham. 2.841 |4.5|
"{ab,ore}","prud. ham. 2.608 |6.7| , prud. ham. 2.932 |2.3|"
"{ab,origine}",prud. ham. 2.674 |4.5|
"{ab,origo}",prud. ham. 2.674 |4.5|
"{ab,os}","prud. ham. 2.608 |6.7| , prud. ham. 2.932 |2.3|"
"{ab,paternis}",prud. ham. 2.567 |1.6|
"{ab,paternus}",prud. ham. 2.567 |1.6|
"{ab,pietas}",prud. ham. 2.567 |1.2|
"{ab,quanta}",prud. ham. 2.674 |4.6|
"{ab,quantus}",prud. ham. 2.674 |4.6|
"{ab,remotis}",prud. ham. 2.841 |4.7|
"{ab,remoueo}",prud. ham. 2.841 |4.7|
"{ab,signa}",prud. ham. 2.567 |1.5|
"{ab,signis}",prud. ham. 2.567 |1.3|
"{ab,signo}",prud. ham. 2.567 |1.5|
"{ab,signum}","prud. ham. 2.567 |1.3| , prud. ham. 2.567 |1.5|"
"{ab,spiritu}",prud. ham. 1.37 |4.5|
"{ab,spiritus}","prud. ham. 1.37 |4.5| , prud. ham. 2.932 |2.6|"
"{ab,subsistit}",prud. ham. 2.932 |2.5|
"{ab,subsisto}",prud. ham. 2.932 |2.5|
"{ab,uno}",prud. ham. 2.43 |7.8|
"{ab,unus}","prud. ham. 2.43 |7.8| , prud. ham. 2.932 |2.7|"
"{abdita,corporeis}",prud. ham. 2.893 |1.2|
"{abdita,corporeus}",prud. ham. 2.893 |1.2|
"{abdita,cum}",prud. ham. 2.893 |1.4|
"{abdita,nectit}",prud. ham. 2.400 |5.6|
"{abdita,necto}",prud. ham. 2.400 |5.6|
"{abdita,oculis}",prud. ham. 2.893 |1.3|
"{abdita,oculus}",prud. ham. 2.893 |1.3|
"{abdita,quies}",prud. ham. 2.893 |1.6|
"{abdita,quiesco}",prud. ham. 2.893 |1.6|
"{abdita,quieta}",prud. ham. 2.893 |1.6|
"{abdita,quieti}",prud. ham. 2.893 |1.6|
"{abdita,quietis}",prud. ham. 2.893 |1.6|
"{abdita,quietum}",prud. ham. 2.893 |1.6|
"{abdita,rumpat}",prud. ham. 2.537 |5.6|
"{abdita,rumpo}",prud. ham. 2.537 |5.6|
"{abdita,saepe}",prud. ham. 2.893 |1.5|
"{abdita,saepes}",prud. ham. 2.893 |1.5|
"{abditus,corporeis}",prud. ham. 2.893 |1.2|
"{abditus,corporeus}",prud. ham. 2.893 |1.2|
"{abditus,cum}",prud. ham. 2.893 |1.4|
"{abditus,nectit}",prud. ham. 2.400 |5.6|
"{abditus,necto}",prud. ham. 2.400 |5.6|
