n-gram (n =3),Location
"{ad,congruens,erilem}",prud. epil. 22 |3.5.6|
"{ad,congruens,erilis}",prud. epil. 22 |3.5.6|
"{ad,congruo,erilem}",prud. epil. 22 |3.5.6|
"{ad,congruo,erilis}",prud. epil. 22 |3.5.6|
"{ad,leuamen,pauper}",prud. epil. 10 |2.3.4|
"{ad,leuamen,pauperum}",prud. epil. 10 |2.3.4|
"{ad,leuamen,possum}",prud. epil. 10 |2.3.5|
"{ad,leuamen,potens}",prud. epil. 10 |2.3.5|
"{ad,leuamen,potentes}",prud. epil. 10 |2.3.5|
"{ad,pauper,possum}",prud. epil. 10 |2.4.5|
"{ad,pauper,potens}",prud. epil. 10 |2.4.5|
"{ad,pauper,potentes}",prud. epil. 10 |2.4.5|
"{ad,pauperum,possum}",prud. epil. 10 |2.4.5|
"{ad,pauperum,potens}",prud. epil. 10 |2.4.5|
"{ad,pauperum,potentes}",prud. epil. 10 |2.4.5|
"{ad,usum,congruens}",prud. epil. 22 |3.4.5|
"{ad,usum,congruo}",prud. epil. 22 |3.4.5|
"{ad,usum,erilem}",prud. epil. 22 |3.4.6|
"{ad,usum,erilis}",prud. epil. 22 |3.4.6|
"{ad,usus,congruens}",prud. epil. 22 |3.4.5|
"{ad,usus,congruo}",prud. epil. 22 |3.4.5|
"{ad,usus,erilem}",prud. epil. 22 |3.4.6|
"{ad,usus,erilis}",prud. epil. 22 |3.4.6|
"{ad,utor,congruens}",prud. epil. 22 |3.4.5|
"{ad,utor,congruo}",prud. epil. 22 |3.4.5|
"{ad,utor,erilem}",prud. epil. 22 |3.4.6|
"{ad,utor,erilis}",prud. epil. 22 |3.4.6|
"{aer,defio,expolio}",prud. epil. 16 |2.3.4|
"{aer,defio,expolita}",prud. epil. 16 |2.3.4|
"{aer,defio,peluis}",prud. epil. 16 |2.3.5|
"{aer,defit,expolio}",prud. epil. 16 |2.3.4|
"{aer,defit,expolita}",prud. epil. 16 |2.3.4|
"{aer,defit,peluis}",prud. epil. 16 |2.3.5|
"{aer,expolio,peluis}",prud. epil. 16 |2.4.5|
"{aer,expolita,peluis}",prud. epil. 16 |2.4.5|
"{aere,defio,expolio}",prud. epil. 16 |2.3.4|
"{aere,defio,expolita}",prud. epil. 16 |2.3.4|
"{aere,defio,peluis}",prud. epil. 16 |2.3.5|
"{aere,defit,expolio}",prud. epil. 16 |2.3.4|
"{aere,defit,expolita}",prud. epil. 16 |2.3.4|
"{aere,defit,peluis}",prud. epil. 16 |2.3.5|
"{aere,expolio,peluis}",prud. epil. 16 |2.4.5|
"{aere,expolita,peluis}",prud. epil. 16 |2.4.5|
"{aes,defio,expolio}",prud. epil. 16 |2.3.4|
"{aes,defio,expolita}",prud. epil. 16 |2.3.4|
"{aes,defio,peluis}",prud. epil. 16 |2.3.5|
"{aes,defit,expolio}",prud. epil. 16 |2.3.4|
"{aes,defit,expolita}",prud. epil. 16 |2.3.4|
"{aes,defit,peluis}",prud. epil. 16 |2.3.5|
"{aes,expolio,peluis}",prud. epil. 16 |2.4.5|
"{aes,expolita,peluis}",prud. epil. 16 |2.4.5|
"{alter,et,pecunia}",prud. epil. 5 |1.2.3|
"{alter,et,pecuniam}",prud. epil. 5 |1.2.3|
"{alto,et,pecunia}",prud. epil. 5 |1.2.3|
"{alto,et,pecuniam}",prud. epil. 5 |1.2.3|
"{ampla,argentea,est}",prud. epil. 18 |3.4.5|
"{ampla,argentea,parapsis}",prud. epil. 18 |3.4.6|
"{ampla,argentea,sum}",prud. epil. 18 |3.4.5|
"{ampla,argenteus,est}",prud. epil. 18 |3.4.5|
"{ampla,argenteus,parapsis}",prud. epil. 18 |3.4.6|
"{ampla,argenteus,sum}",prud. epil. 18 |3.4.5|
"{ampla,est,parapsis}",prud. epil. 18 |3.5.6|
"{ampla,sum,parapsis}",prud. epil. 18 |3.5.6|
"{amplo,argentea,est}",prud. epil. 18 |3.4.5|
"{amplo,argentea,parapsis}",prud. epil. 18 |3.4.6|
"{amplo,argentea,sum}",prud. epil. 18 |3.4.5|
"{amplo,argenteus,est}",prud. epil. 18 |3.4.5|
"{amplo,argenteus,parapsis}",prud. epil. 18 |3.4.6|
"{amplo,argenteus,sum}",prud. epil. 18 |3.4.5|
"{amplo,est,parapsis}",prud. epil. 18 |3.5.6|
"{amplo,sum,parapsis}",prud. epil. 18 |3.5.6|
"{amplus,argentea,est}",prud. epil. 18 |3.4.5|
"{amplus,argentea,parapsis}",prud. epil. 18 |3.4.6|
"{amplus,argentea,sum}",prud. epil. 18 |3.4.5|
